__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATE_CREATED,DT_CHANGED,STOKA_CHANGED,GRUPA,STOKA,CODE,BARCODE,VALUTA_KUP,VALUTA_PROD_ED,VALUTA_PROD_DR,RAZFAS1,RAZFAS2,RELATOR,CENA_KUP,CENA_PROD_ED1,CENA_PROD_DR1,DDS_DEF,PROPS,NOTE,IS_SER_NO,MIN_KOLICH,MAX_KOLICH,WARRANTY,DOSTAW,INTRASTAT,COUNTRY,TEGLO,TREND,FOTO,FOTO2,FOTO3,THUMBNAIL,THUMBNAIL2,THUMBNAIL3,ASSOC,IS_ACTIVE,ACC_TIP,EEO_NO,EEO_TEGLO,WEB_IS_FOTO_CHANGED,CAT_ID,BONUS_ADD,BONUS_SUB,IS_ACTIVE_WEB,IS_ACTIVE_PARENT,IS_ACTIVE_WEB_PARENT,IS_VALID_EAN13,ITEM_ID,DT_CHANGED_FOTO,FOLLOW_NUM,WEB_PRODUCT_NAME,WEB_PRODUCT_NOTE,WEB_PRODUCT_NAME_EN,WEB_PRODUCT_NOTE_EN,WEB_PRODUCT_NAME2,WEB_PRODUCT_NAME2_EN,NOTE2,RAZFAS_STEP,WEB_MIN_KOLICH,KOLICH_STEP,KOLICH_STEP_DOST,NOTE_FG_COLOR,SIZE_X,SIZE_Y,SIZE_Z,WIN_MIN_KOLICH,FISCAL_RISK
1703,8,1,2025-08-06 14:43:00.506,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Ножици други за ламарина,,00000789,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Ножици|3—други|4—за ламарина|5—хале|,,N,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,357,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1703,10,1,2025-08-06 14:43:00.516,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Клещи резачки Haupa,,00000644,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Клещи резачки|3—Haupa|5—хале|,,N,1.0,2.0,,,4,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,358,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1703,12,1,2025-08-06 14:43:00.524,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Клещи резачки Knipex,,00000646,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Клещи резачки|3—Knipex|5—хале|,,N,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,359,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1703,14,1,2025-08-06 14:43:00.540,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Клещи резачки Powershark,,00000647,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Клещи резачки|3—Powershark|5—хале|,,N,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,360,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1703,16,1,2025-08-06 14:43:00.550,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Клещи зегер Whirlpower,,00000643,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Клещи зегер|3—Whirlpower|5—хале|,,N,1.0,2.0,,,2,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,361,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1703,18,1,2025-08-06 14:43:00.559,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Клещи Top Tools,,00000638,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Клещи|3—Top Tools|5—хале|,,N,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,362,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1703,20,1,2025-08-06 14:43:00.569,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Клещи Premium,,00000634,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Клещи|3—Premium|5—хале|,,N,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,363,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1703,22,1,2025-08-06 14:43:00.582,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Клещи Suki,,00000635,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Клещи|3—Suki|5—хале|,,N,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,364,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1703,24,1,2025-08-06 14:43:00.592,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Клещи Top Aster,,00000636,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Клещи|3—Top Aster|5—хале|,,N,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,365,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1704,0,1,2025-08-06 14:43:00.607,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Клещи Gadget,,00000633,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Клещи|3—Gadget|5—хале|,,N,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,366,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1704,2,1,2025-08-06 14:43:00.617,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Клещи други,,00000641,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Клещи|3—други|5—хале|,,N,1.0,2.0,,,5,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,367,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1704,4,1,2025-08-06 14:43:00.631,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Кримпващи клещи Cembre,,00000688,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Кримпващи клещи|3—Cembre|5—хале|,,N,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,368,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1704,6,1,2025-08-06 14:43:00.642,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Кримпващи клещи HBG,,00000689,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Кримпващи клещи|4—HBG|5—хале|,,N,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,369,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1704,8,1,2025-08-06 14:43:00.655,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Кримпващи клещи Unior 427/4DG,,00000693,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Кримпващи клещи|3—Unior|4—427/4DG|5—хале|,,N,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,370,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1704,10,1,2025-08-06 14:43:00.667,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Кримпващи клещи Haupa 210695,,00000691,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Кримпващи клещи|3—Haupa|4—210695|5—хале|,,N,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,371,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1704,12,1,2025-08-06 14:43:00.682,1320962430,2026-06-16 13:30:08.978,Хале  - инструменти,Кримпващи клещи 211816,,00000687,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Кримпващи клещи|4—211816|5—хале|,,N,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,372,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
