__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATETIME,NUM,POS,IS_FACTUR,S_DATETIME,S_NUM,SKLAD,GRUPA,STOKA,KOLICH,KOLICH2,KOLICH_COME,KOLICH_COME2,KOLICH_REAL,KOLICH_REAL2,KOLICH_CHECK,DDS,CENA,VALUTA,DISCOUNT,DISCOUNT2,IS_REL_DISCOUNT,KONSIGNACIA,KB_ID,CENA_LIST,CENA_LIST_TYPE,ENDDATE,WARRANTY,COME_DATETIME,D_EDCENA,D_VALUTA,NOTE,STATUS,SER_NO,O_DATETIME,O_NUM,PROPS_ROW,WMS_KOLICH
5251,1,2,43018793,1,1,Y,0,0,Склад,Сензори,Сензор за газ H2 GS-220,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,4508.400000000001,L,-0.0,0.0,N,N,0,Доставни цени,N,2025-10-03 15:02:51.000,,0,346.80000000000007,L,,,,0,0,,13.0
5251,2,2,43018793,2,2,Y,0,0,Склад,Други (Електроника),Управление за сензор за газ GA-220,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,3513.9,L,-0.0,0.0,N,N,0,Доставни цени,N,2025-10-03 15:02:51.000,,0,270.3,L,,,,0,0,,13.0
