__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,CODE,NAME
1619,0,1,2,"машини, производствено оборудване, апаратура;"
1619,1,1,3,"транспортни средства, без автомобили, покритие на пътища и на самолетни писти;"
1619,2,1,4,"компютри, периферни устройства за тях, софтуер и право на ползване на софтуер;"
1619,3,1,5,"автомобили и амортизируемия актив по § 1, т.55, буква “е“ от допълнителните разпоредби;"
1619,4,1,6,всички останали амортизируеми активи.
1619,5,1,7,"дълготрайни нематериални активи, за които има правни ограничения за периода на ползване на актива."
1619,6,1,1,"масивни сгради, в т.ч. сгради, отчитани като инв. имоти, съоръжения, предавателни устройства, преносители на ел. енергия;"
