__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DT_CREATED,DT_VAR,DT_STP,POS,ED_CENA,KOLICH,KOLICH2,MODIFY_MAT_VAL,MODIFY_MAT_TIP,MODIFY_VAL,MODIFY_TIP,PROPS,SIZE1
5978,12,1,43987986,1307737731,35505348,1,0.9363157894736841,40.0,0.0,0.0,%,0.0,%,|137—57 мин машинна работа/1 час пренастройка на машина|,
5978,14,1,47048524,1308356621,48865886,1,185.0550980191683,10.0,0.0,0.0,%,0.0,%,,
5978,15,1,43987986,1307737731,44040911,1,0.9363157894736841,40.0,0.0,0.0,%,0.0,%,|137—57 мин машинна работа/1 час пренастройка на машина|,
5978,17,1,49281320,1312037749,37015689,1,39.48985450886,4.0,0.0,0.0,%,0.0,%,|137—13 мин|,
5978,21,1,36654702,1311532157,45335126,1,12023.313954199997,1.0,0.0,0.0,%,0.0,%,,
5978,23,1,47854542,1308344782,47049208,1,3.7313730182131386,10.0,0.0,0.0,%,0.0,%,|137—15 мин|,
5978,24,1,47233553,1312038500,-1,1,0.0,0.0,0.0,0.0,%,0.0,%,,
5978,27,1,42782948,1321638418,-2,1,77.32,1.0,0.0,0.0,%,0.0,%,,
5978,29,1,49669910,1308356621,-1,1,173.96940400000003,15.0,0.0,0.0,%,0.0,%,,
5978,31,1,49669910,1308356621,46936188,1,170.0343236191683,15.0,0.0,0.0,%,0.0,%,,
5978,32,1,49967252,1312038500,-1,1,0.0,0.0,0.0,0.0,%,0.0,%,,
5978,37,1,49669910,1308356621,34282710,1,170.0343236191683,15.0,0.0,0.0,%,0.0,%,,
5978,38,1,36654702,1311532157,-1,1,12023.268495975659,1.0,0.0,0.0,%,0.0,%,,
6139,1,1,39297021,1300860839,-1,1,423415.03307350114,1.0,1.0,0.0,%,0.0,%,,
6139,2,1,49967252,1312040009,48819410,2,51.4496497,4.0,0.0,0.0,%,0.0,%,|137—77 мин|,
6139,3,1,47047270,1300860839,-2,1,0.0,1.0,1.0,0.0,%,0.0,%,,
6139,4,1,36650426,1308356621,-1,1,180.48387113854002,10.0,0.0,0.0,%,0.0,%,|137—5 часа 20 мин|,
6139,5,1,47412753,1312049510,45925431,1,169.688025745717,2.0,0.0,0.0,%,0.0,%,|137—20 мин|,
6139,7,1,45613224,1308344164,-2,1,0.4748148148148148,54.0,0.0,0.0,%,0.0,%,|137—15 мин|,
6139,8,1,49967252,1312038500,37751761,1,0.0,0.0,0.0,0.0,%,0.0,%,,
6139,9,1,49967252,1312040009,-1,2,51.449644524874884,4.0,0.0,0.0,%,0.0,%,|137—77 мин|,
6139,11,1,45794728,1312063269,-1,1,149.4199393607829,4.0,0.0,0.0,%,0.0,%,|137—5 часа и 33  мин|,
6139,15,1,44730875,1312038500,-1,1,0.0,0.0,0.0,0.0,%,0.0,%,,
6139,16,1,44730875,1312038500,44252665,1,0.0,0.0,0.0,0.0,%,0.0,%,,
6139,18,1,47273863,1312063269,-1,1,0.0,4.0,0.0,0.0,%,0.0,%,|137—5 часа и 33  мин|,
6139,19,1,44730875,1312040009,-1,2,12.513160000000001,8.0,0.0,0.0,%,0.0,%,|137—77 мин|,
6139,20,1,44730875,1312038500,43777570,1,0.0,0.0,0.0,0.0,%,0.0,%,,
6139,21,1,40169806,1312037749,-1,1,39.49,8.0,0.0,0.0,%,0.0,%,|137—13 мин|,
6139,22,1,49132890,1300860839,-1,1,438615.79616420117,1.0,1.0,0.0,%,0.0,%,,
6139,24,1,48413636,1312062665,-1,1,18.553800000000003,4.0,0.0,0.0,%,0.0,%,|137—52 мин|,
6139,26,1,50173966,1312049510,-1,1,169.69,4.0,0.0,0.0,%,0.0,%,|137—20 мин|,
6139,27,1,40169806,1312037749,41883175,1,39.49,8.0,0.0,0.0,%,0.0,%,|137—13 мин|,
6139,28,1,40169806,1312037749,40874321,1,39.49,8.0,0.0,0.0,%,0.0,%,|137—13 мин|,
6139,29,1,50173966,1312049510,39701296,1,169.69,4.0,0.0,0.0,%,0.0,%,|137—20 мин|,
6139,36,1,44730875,1312040009,43777570,2,52.00316,8.0,0.0,0.0,%,0.0,%,|137—77 мин|,
6964,1,1,44730875,1312040009,44252665,2,52.00316,8.0,0.0,0.0,%,0.0,%,|137—77 мин|,
6964,5,1,50173966,1312049510,34717919,1,169.69,4.0,0.0,0.0,%,0.0,%,|137—20 мин|,
6964,6,1,48413636,1312062665,41286454,1,18.553800000000003,4.0,0.0,0.0,%,0.0,%,|137—52 мин|,
6964,7,1,47273863,1312063269,35731331,1,292.25012,4.0,0.0,0.0,%,0.0,%,|137—5 часа и 33  мин|,
6964,8,1,36425042,1300860756,-1,1,3504.3885238494004,1.0,1.0,0.0,%,0.0,%,,
6964,9,1,48413636,1312062665,34500568,1,18.553800000000003,4.0,0.0,0.0,%,0.0,%,|137—52 мин|,
6964,12,1,36425042,1300860756,44872595,1,5986.7519999999995,1.0,0.0,0.0,%,0.0,%,,
6964,14,1,47273863,1312063269,34428257,1,292.25012,4.0,0.0,0.0,%,0.0,%,|137—5 часа и 33  мин|,
6964,20,1,49070797,1308348189,33627471,1,1.4756400137931034,10.0,0.0,0.0,%,0.0,%,|137—30 мин|,
6964,21,1,34704435,1308348189,-1,1,1.152815659770115,20.0,0.0,0.0,%,0.0,%,|137—30 мин|,
6964,22,1,45748066,1308344164,-1,1,1.1888888888888889,10.0,0.0,0.0,%,0.0,%,|137—15 мин|,
6964,23,1,47854542,1308344782,-1,1,3.7313730182131386,10.0,0.0,0.0,%,0.0,%,|137—15 мин|,
6964,24,1,38624603,1310539391,42348863,1,46.82387408666668,3.3,0.0,0.0,%,0.0,%,|137—9 часа 45 мин|,
6964,26,1,38624603,1310539391,-1,1,46.80800000000001,3.3,0.0,0.0,%,0.0,%,|137—9 часа 45 мин|,
6964,27,1,45748066,1308344164,39234588,1,1.188710011111111,10.0,0.0,0.0,%,0.0,%,|137—15 мин|,
6964,28,1,49070797,1308348189,48264767,1,1.4756400137931034,10.0,0.0,0.0,%,0.0,%,|137—30 мин|,
6964,30,1,47854542,1308344782,50108062,1,3.7313730182131386,10.0,0.0,0.0,%,0.0,%,|137—15 мин|,
6964,32,1,49070797,1308348189,-1,1,1.4758620689655173,10.0,0.0,0.0,%,0.0,%,|137—30 мин|,
6964,34,1,45748066,1308344164,34698093,1,1.188710011111111,10.0,0.0,0.0,%,0.0,%,|137—15 мин|,
7788,1,1,39314364,1308356621,-1,1,173.96940400000003,10.0,0.0,0.0,%,0.0,%,,
7788,2,1,41682963,1308351747,-1,1,6.38,10.0,0.0,0.0,%,0.0,%,,
7788,3,1,41682963,1308351747,35692777,1,6.39572304311735,10.0,0.0,0.0,%,0.0,%,,
7788,4,1,36650426,1308356621,49022476,1,176.55316526600004,10.0,0.0,0.0,%,0.0,%,|137—5 часа 20 мин|,
7788,5,1,41682963,1308351747,41101048,1,6.39572304311735,10.0,0.0,0.0,%,0.0,%,,
7788,6,1,36650426,1308356621,42476671,1,176.55316526600004,10.0,0.0,0.0,%,0.0,%,|137—5 часа 20 мин|,
7788,16,1,49132890,1300860839,37874140,1,13209.107693299999,1.0,0.0,0.0,%,0.0,%,,
7788,20,1,47233553,1312040009,-1,2,51.45143682487488,8.0,0.0,0.0,%,0.0,%,|137—77 мин|,
7788,21,1,47233553,1312038500,36714885,1,0.0,0.0,0.0,0.0,%,0.0,%,,
7788,22,1,39991739,1312037749,-1,1,39.48985450886,8.0,0.0,0.0,%,0.0,%,|137—13 мин|,
7788,23,1,1300860839,1300860839,-2,1,89373.51278096733,1.0,1.0,0.0,%,0.0,%,,
7788,24,1,34055391,1312062665,-1,1,18.0095661571168,4.0,0.0,0.0,%,0.0,%,|137—52 мин|,
7788,27,1,43116945,1300860652,-1,1,45966.31316450001,1.0,1.0,0.0,%,0.0,%,,
7788,28,1,43116945,1300860652,46613752,1,5157.268,1.0,0.0,0.0,%,0.0,%,,
7788,31,1,35768859,1312049510,-1,1,169.689965745717,4.0,0.0,0.0,%,0.0,%,|137—20 мин|,
7788,32,1,39991739,1312037749,40961008,1,39.48985450886,8.0,0.0,0.0,%,0.0,%,|137—13 мин|,
7788,34,1,39991739,1312037749,49021392,1,39.48985450886,8.0,0.0,0.0,%,0.0,%,|137—13 мин|,
7788,38,1,47233553,1312038500,44836816,1,0.0,0.0,0.0,0.0,%,0.0,%,,
8180,1,1,47233553,1312040009,36714885,2,51.45129650886,8.0,0.0,0.0,%,0.0,%,|137—77 мин|,
8180,2,1,34055391,1312062665,46236987,1,18.002059656969998,4.0,0.0,0.0,%,0.0,%,|137—52 мин|,
8180,3,1,35768859,1312049510,48482632,1,169.689965745717,4.0,0.0,0.0,%,0.0,%,|137—20 мин|,
8180,4,1,47233553,1312040009,44836816,2,51.45129650886,8.0,0.0,0.0,%,0.0,%,|137—77 мин|,
8180,8,1,45794728,1312063269,45274291,1,148.57866911766718,4.0,0.0,0.0,%,0.0,%,|137—5 часа и 33  мин|,
8180,10,1,34055391,1312062665,49540274,1,18.002059656969998,4.0,0.0,0.0,%,0.0,%,|137—52 мин|,
8180,14,1,47318391,1312063269,-1,1,148.59,2.0,0.0,0.0,%,0.0,%,|137—5 часа и 33  мин|,
8180,16,1,35768859,1312049510,43763387,1,169.689965745717,4.0,0.0,0.0,%,0.0,%,|137—20 мин|,
8180,19,1,49967252,1312040009,37751761,2,51.4496497,4.0,0.0,0.0,%,0.0,%,|137—77 мин|,
8180,21,1,45794728,1312063269,48988758,1,149.42000000000002,4.0,0.0,0.0,%,0.0,%,|137—5 часа и 33  мин|,
8180,24,1,38528262,1310539391,-2,1,46.80431578666667,1.0,0.0,0.0,%,0.0,%,|137—9 часа 45 мин|,
8180,26,1,43480505,1308356621,37416099,1,176.54671102700001,20.0,0.0,0.0,%,0.0,%,|137—5 часа 20 мин|,
8180,27,1,38161649,1308344164,-1,1,0.9286570592592592,20.0,0.0,0.0,%,0.0,%,|137—15 мин|,
8180,28,1,43091093,1311561394,-2,1,52.020188425,1.0,0.0,0.0,%,0.0,%,,
8180,31,1,40798683,1308351747,49937303,1,6.3955641,20.0,0.0,0.0,%,0.0,%,,
8180,32,1,34897389,1308344782,-1,1,3.392008817518249,20.0,0.0,0.0,%,0.0,%,|137—15 мин|,
8180,34,1,48498399,1310539391,-1,1,46.80431578666668,6.6,0.0,0.0,%,0.0,%,|137—9 часа 45 мин|,
8180,35,1,38161649,1308344164,41023831,1,0.928475963888889,20.0,0.0,0.0,%,0.0,%,|137—15 мин|,
8180,36,1,34704435,1308348189,41327675,1,1.152590851724138,20.0,0.0,0.0,%,0.0,%,|137—30 мин|,
8389,1,1,34897389,1308344782,38130777,1,3.7313730182131386,20.0,0.0,0.0,%,0.0,%,|137—15 мин|,
8389,4,1,48498399,1310539391,41850638,1,46.80431578666668,6.6,0.0,0.0,%,0.0,%,|137—9 часа 45 мин|,
8389,7,1,43480505,1308356621,-1,1,180.47741689954,20.0,0.0,0.0,%,0.0,%,|137—5 часа 20 мин|,
8389,8,1,43187788,1308356621,-2,1,92.276638,1.0,0.0,0.0,%,0.0,%,|137—5 часа 20 мин|,
8389,9,1,44670355,1312049510,-2,1,86.7601099,1.0,0.0,0.0,%,0.0,%,|137—20 мин|,
8389,11,1,35493290,1316163698,-2,1,149.424503,1.0,0.0,0.0,%,0.0,%,,
8389,12,1,49281320,1312037749,-1,1,39.48985450886,4.0,0.0,0.0,%,0.0,%,|137—13 мин|,
8389,13,1,46362116,1312062665,33970879,1,16.7773991,2.0,0.0,0.0,%,0.0,%,|137—52 мин|,
8389,14,1,46362116,1312062665,-1,1,16.7773932571168,2.0,0.0,0.0,%,0.0,%,|137—52 мин|,
8389,15,1,47412753,1312049510,40778195,1,169.688025745717,2.0,0.0,0.0,%,0.0,%,|137—20 мин|,
8389,16,1,47412753,1312049510,-1,1,169.688025745717,2.0,0.0,0.0,%,0.0,%,|137—20 мин|,
8389,17,1,43563959,1312034596,43349306,1,29.609891055927,2.0,0.0,0.0,%,0.0,%,|137—65 мин|,
8389,18,1,43563959,1312034596,-1,1,29.609891055927,2.0,0.0,0.0,%,0.0,%,|137—65 мин|,
8389,22,1,43563959,1312034596,38799182,1,29.609891055927,2.0,0.0,0.0,%,0.0,%,|137—65 мин|,
8389,24,1,46362116,1312062665,35411133,1,16.7773991,2.0,0.0,0.0,%,0.0,%,|137—52 мин|,
8389,26,1,47318391,1312063269,44831034,1,148.59,2.0,0.0,0.0,%,0.0,%,|137—5 часа и 33  мин|,
8389,33,1,49935511,1312038500,-2,1,51.449644524874884,1.0,0.0,0.0,%,0.0,%,,
8389,35,1,47318391,1312063269,34128221,1,148.59,2.0,0.0,0.0,%,0.0,%,|137—5 часа и 33  мин|,
