__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATETIME,NUM,POS,IS_FACTUR,SKLAD,GRUPA,STOKA,SER_NO,KOLICH,KOLICH2,PAY_KOLICH,PAY_KOLICH2,BACK_KOLICH,BACK_KOLICH2,REV_KOLICH,REV_KOLICH2,BACK_T_KOLICH,BACK_T_KOLICH2,REAL_KOLICH,REAL_KOLICH2,KOLICH_CHECK,KONSIGNACIA,KB_ID,CENA_LIST,CENA_LIST_TYPE,ENDDATE,DDS,CENA,VALUTA,DISCOUNT,DISCOUNT2,IS_REL_DISCOUNT,WARRANTY,KUP_CENA,KUP_VALUTA,P_DATETIME,P_NUM,RP_USD,RP_DM,RP_LV,RP_1,RP_2,RP_3,RP_4,RP_5,R_CENA,R_CENADDS,R_VALUTA,D_EDCENA,D_VALUTA,DR_CENA,DR_VALUTA,CD_ROW_DUTY,CD_SELL_KOLICH,PRODUCT_TAX,O_DATETIME,O_NUM,NOTE,PROPS_ROW,WMS_KOLICH,I_DATETIME,I_NUM,I_SMETKA
5674,13,5,46788486,5,5,Y,Склад,Релета,Реле мини тип PT 14 пина 4CO 230AC 6A,1459015834/170925/5,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,N,0,Доставни цени,N,2025-10-07 08:53:43.000,0.0,92.89999999999999,L,-0.0,0.0,N,,9.29,L,0,0,0.0,0.0,92.89999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,9.29,L,0.0,L,0.0,0.0,0.0,0,0,,,10.0,,,
5674,14,5,46788486,6,6,Y,Склад,"Прекъсвачи, Предпазители",Прекъсвач мин. AMPARO 6kA C 25А 3P,1459015834/170925/6,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,N,0,Доставни цени,N,2025-10-07 08:53:43.000,0.0,58.6,L,-0.0,0.0,N,,14.65,L,0,0,0.0,0.0,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,14.65,L,0.0,L,0.0,0.0,0.0,0,0,,,4.0,,,
5674,15,5,38832036,1,1,Y,Склад,1. Пречистване на вода,B520 PRO,81066/040925/1,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,N,0,Доставни цени,N,2025-10-07 10:41:43.000,0.0,1000.0,L,-0.0,0.0,N,,100.0,L,0,0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,100.0,L,0.0,L,0.0,0.0,0.0,0,0,,,10.0,,,
5674,16,5,38832036,2,2,Y,Склад,1. Пречистване на вода,"Предфилтърен корпус, Викинг ПРО за студена вода",81066/040925/2,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,N,0,Доставни цени,N,2025-10-07 10:41:43.000,0.0,1820.0,L,-0.0,0.0,N,,182.0,L,0,0,0.0,0.0,1820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,182.0,L,0.0,L,0.0,0.0,0.0,0,0,,,10.0,,,
5674,17,5,45097386,1,1,Y,0. СКЛАД - ОСНОВЕН,Кабелни Канали,"Кабелна обувка М12, 70мм",1469001851/020226/1,135.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,N,0,Доставни цени,N,2026-02-09 12:33:47.000,0.0,363.15,M,-0.0,0.0,N,,2.69,M,0,0,0.0,363.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,2.69,M,0.0,L,0.0,0.0,0.0,0,0,,,135.0,,,
5680,1,5,38832036,4,4,Y,Склад,1. Пречистване на вода,"Горен дистрибутор D5120-1, 1`",81066/040925/4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-07 10:41:43.000,0.0,19.56,L,-0.0,0.0,N,,19.56,L,0,0,0.0,0.0,19.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,19.56,L,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5680,2,5,38832036,5,5,Y,Склад,1. Пречистване на вода,"Управляваща глава/клапан Runxin, H9901",81066/040925/5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,N,0,Доставни цени,N,2025-10-07 10:41:43.000,0.0,52.56,L,-0.0,0.0,N,,26.28,L,0,0,0.0,0.0,52.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,26.28,L,0.0,L,0.0,0.0,0.0,0,0,,,2.0,,,
5680,3,5,38629448,1,1,Y,Склад,5. Устройства,Помпа (Pump MOD. HTM 10 SS316),251090/1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-07 13:15:27.000,0.0,1347.5,M,-0.0,0.0,N,,1347.5,M,0,0,0.0,1347.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,1347.5,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5680,4,5,38629448,2,2,Y,Склад,5. Устройства,"Помпа-мотор (Motor IE3 size 80,1,1kW)",1/862/100925,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,N,0,Доставни цени,N,2025-10-07 13:15:27.000,0.0,392.0,M,-0.0,0.0,N,,196.0,M,0,0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,196.0,M,0.0,L,0.0,0.0,0.0,0,0,,,2.0,,,
5680,5,5,38833811,2,2,Y,Склад,2.5.5. Клапани,Иглен клапан (Slid. Gate Mot. Valve 8038 О2),2994840001/1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-08 09:58:45.000,0.0,3233.29,M,-0.0,0.0,N,,3233.29,M,0,0,0.0,3233.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,3233.29,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
